conflict_begin;conflict_ego;conflict_end;conflict_foe;minTTC_position;minTTC_time;minTTC_type;minTTC_value;maxDRAC_position;maxDRAC_time;maxDRAC_type;maxDRAC_value
85.00;1_1.29;113.00;1_2.18;1180.40,1040.56;87.00;2;3.00;;;;
85.00;1_1.29;113.00;1_2.18;;;;;1185.12,1034.37;85.00;2;3.61
85.00;1_2.18;113.00;1_1.29;1180.40,1040.56;87.00;3;3.00;;;;
85.00;1_2.18;113.00;1_1.29;;;;;1185.12,1034.37;85.00;3;3.61
144.00;1_2.34;173.00;1_1.88;1180.06,1041.01;146.00;3;3.20;;;;
144.00;1_2.34;173.00;1_1.88;;;;;1183.13,1036.98;145.00;3;3.42
144.00;1_1.88;173.00;1_2.34;1180.06,1041.01;146.00;2;3.20;;;;
144.00;1_1.88;173.00;1_2.34;;;;;1183.13,1036.98;145.00;2;3.42
185.00;1_2.47;210.00;1_1.131;1178.09,1033.04;186.00;3;3.04;;;;
185.00;1_2.47;210.00;1_1.131;;;;;1179.98,1030.55;185.00;3;4.42
186.00;1_2.47;210.00;1_1.137;1178.09,1033.04;186.00;3;3.77;;;;
186.00;1_2.47;210.00;1_1.137;;;;;1178.09,1033.04;186.00;3;3.46
185.00;1_1.131;210.00;1_2.47;1178.09,1033.04;186.00;2;3.04;;;;
185.00;1_1.131;210.00;1_2.47;;;;;1179.98,1030.55;185.00;2;4.42
184.00;1_2.37;212.00;1_1.127;1178.44,1037.86;186.00;3;2.84;;;;
184.00;1_2.37;212.00;1_1.127;;;;;1182.63,1032.36;184.00;3;4.33
184.00;1_1.127;212.00;1_2.37;1178.44,1037.86;186.00;2;2.84;;;;
184.00;1_1.127;212.00;1_2.37;;;;;1182.63,1032.36;184.00;2;4.33
186.00;1_1.137;210.00;1_2.47;1178.09,1033.04;186.00;2;3.77;;;;
186.00;1_1.137;210.00;1_2.47;;;;;1178.09,1033.04;186.00;2;3.46
202.00;1_2.48;223.00;1_1.146;1179.34,1036.68;203.00;3;3.19;;;;
202.00;1_2.48;223.00;1_1.146;;;;;1182.09,1033.07;202.00;3;3.95
204.00;1_2.52;228.00;1_1.152;1179.83,1030.74;204.00;3;3.11;;;;
204.00;1_2.52;228.00;1_1.152;;;;;1179.83,1030.74;204.00;3;4.15
202.00;1_1.146;223.00;1_2.48;1179.34,1036.68;203.00;2;3.19;;;;
202.00;1_1.146;223.00;1_2.48;;;;;1182.09,1033.07;202.00;2;3.95
204.00;1_1.152;228.00;1_2.52;1179.83,1030.74;204.00;2;3.11;;;;
204.00;1_1.152;228.00;1_2.52;;;;;1179.83,1030.74;204.00;2;4.15
218.00;1_2.41;247.00;1_1.164;1179.46,1041.79;221.00;3;2.81;;;;
218.00;1_2.41;247.00;1_1.164;;;;;1184.74,1034.87;219.00;3;3.38
218.00;1_1.164;247.00;1_2.41;1179.46,1041.79;221.00;2;2.81;;;;
218.00;1_1.164;247.00;1_2.41;;;;;1184.74,1034.87;219.00;2;3.38
232.00;1_1.183;256.00;1_2.49;1182.76,1037.47;232.00;2;3.42;;;;
232.00;1_1.183;256.00;1_2.49;;;;;1182.76,1037.47;232.00;2;3.65
232.00;1_2.49;256.00;1_1.183;1182.76,1037.47;232.00;3;3.42;;;;
232.00;1_2.49;256.00;1_1.183;;;;;1182.76,1037.47;232.00;3;3.65
242.00;1_2.54;268.00;1_1.190;1182.34,1032.73;242.00;3;3.32;;;;
242.00;1_2.54;268.00;1_1.190;;;;;1182.34,1032.73;242.00;3;4.22
242.00;1_1.190;268.00;1_2.54;1182.34,1032.73;242.00;2;3.32;;;;
242.00;1_1.190;268.00;1_2.54;;;;;1182.34,1032.73;242.00;2;4.22
256.00;1_2.66;280.00;1_1.206;1176.52,1035.10;257.00;3;3.63;;;;
256.00;1_2.66;280.00;1_1.206;;;;;1179.35,1031.38;256.00;3;3.50
256.00;1_1.206;280.00;1_2.66;1176.52,1035.10;257.00;2;3.63;;;;
256.00;1_1.206;280.00;1_2.66;;;;;1179.35,1031.38;256.00;2;3.50
283.00;1_2.68;308.00;1_1.222;1179.08,1042.30;285.00;3;3.11;;;;
283.00;1_2.68;308.00;1_1.222;;;;;1182.19,1038.21;284.00;3;3.35
283.00;1_1.231;310.00;1_2.62;1180.45,1035.22;284.00;2;3.11;;;;
283.00;1_1.231;310.00;1_2.62;;;;;1182.45,1032.60;283.00;2;4.29
283.00;1_2.62;310.00;1_1.231;1180.45,1035.22;284.00;3;3.11;;;;
283.00;1_2.62;310.00;1_1.231;;;;;1182.45,1032.60;283.00;3;4.29
283.00;1_1.222;308.00;1_2.68;1179.08,1042.30;285.00;2;3.11;;;;
283.00;1_1.222;308.00;1_2.68;;;;;1182.19,1038.21;284.00;2;3.35
334.00;2_2.0;360.00;1_1.273;1183.07,1037.05;336.00;3;2.72;;;;
334.00;2_2.0;360.00;1_1.273;;;;;1185.07,1034.43;335.00;3;4.20
334.00;1_1.273;360.00;2_2.0;1183.07,1037.05;336.00;2;2.72;;;;
334.00;1_1.273;360.00;2_2.0;;;;;1185.07,1034.43;335.00;2;4.20
366.00;2_2.8;386.00;1_1.313;1183.19,1036.90;367.00;3;3.24;;;;
366.00;2_2.8;386.00;1_1.313;;;;;1183.19,1036.90;367.00;3;3.44
365.00;2_2.1;391.00;1_1.305;1180.33,1035.37;366.00;3;3.07;;;;
365.00;2_2.1;391.00;1_1.305;;;;;1182.54,1032.48;365.00;3;3.68
365.00;1_1.305;391.00;2_2.1;1180.33,1035.37;366.00;2;3.07;;;;
365.00;1_1.305;391.00;2_2.1;;;;;1182.54,1032.48;365.00;2;3.68
366.00;1_1.313;386.00;2_2.8;1183.19,1036.90;367.00;2;3.24;;;;
366.00;1_1.313;386.00;2_2.8;;;;;1183.19,1036.90;367.00;2;3.44
415.00;2_2.16;441.00;2_1.30;1180.67,1034.94;416.00;3;3.03;;;;
415.00;2_2.16;441.00;2_1.30;;;;;1180.67,1034.94;416.00;3;3.73
415.00;2_1.30;441.00;2_2.16;1180.67,1034.94;416.00;2;3.03;;;;
415.00;2_1.30;441.00;2_2.16;;;;;1180.67,1034.94;416.00;2;3.73
430.00;2_2.15;453.00;2_1.49;1177.46,1033.86;430.00;3;3.52;;;;
430.00;2_2.15;453.00;2_1.49;;;;;1177.46,1033.86;430.00;3;3.52
430.00;2_1.49;453.00;2_2.15;1177.46,1033.86;430.00;2;3.52;;;;
430.00;2_1.49;453.00;2_2.15;;;;;1177.46,1033.86;430.00;2;3.52
450.00;2_2.18;476.00;2_1.65;1181.48,1039.14;451.00;3;3.29;;;;
450.00;2_2.18;476.00;2_1.65;;;;;1184.47,1035.22;450.00;3;3.69
450.00;2_1.65;476.00;2_2.18;1181.48,1039.14;451.00;2;3.29;;;;
450.00;2_1.65;476.00;2_2.18;;;;;1184.47,1035.22;450.00;2;3.69
459.00;2_2.22;489.00;2_1.62;1183.26,1036.80;461.00;3;2.59;;;;
459.00;2_2.22;489.00;2_1.62;;;;;1185.16,1034.32;460.00;3;4.19
459.00;2_1.62;489.00;2_2.22;1183.26,1036.80;461.00;2;2.59;;;;
459.00;2_1.62;489.00;2_2.22;;;;;1185.16,1034.32;460.00;2;4.19
485.00;2_2.28;510.00;2_1.106;1181.58,1039.01;486.00;3;3.58;;;;
485.00;2_2.28;510.00;2_1.106;;;;;1184.50,1035.18;485.00;3;3.42
485.00;2_1.106;510.00;2_2.28;1181.58,1039.01;486.00;2;3.58;;;;
485.00;2_1.106;510.00;2_2.28;;;;;1184.50,1035.18;485.00;2;3.42
518.00;2_2.33;544.00;2_1.134;1180.38,1035.31;519.00;3;3.05;;;;
518.00;2_2.33;544.00;2_1.134;;;;;1180.38,1035.31;519.00;3;3.60
518.00;2_1.134;544.00;2_2.33;1180.38,1035.31;519.00;2;3.05;;;;
518.00;2_1.134;544.00;2_2.33;;;;;1180.38,1035.31;519.00;2;3.60
534.00;2_2.35;559.00;2_1.146;1182.75,1037.47;535.00;3;3.23;;;;
534.00;2_2.35;559.00;2_1.146;;;;;1182.75,1037.47;535.00;3;3.51
534.00;2_1.146;559.00;2_2.35;1182.75,1037.47;535.00;2;3.23;;;;
534.00;2_1.146;559.00;2_2.35;;;;;1182.75,1037.47;535.00;2;3.51
546.00;2_2.36;570.00;2_1.163;1182.18,1038.22;546.00;3;3.66;;;;
546.00;2_2.36;570.00;2_1.163;;;;;1182.18,1038.22;546.00;3;3.52
546.00;2_1.163;570.00;2_2.36;1182.18,1038.22;546.00;2;3.66;;;;
546.00;2_1.163;570.00;2_2.36;;;;;1182.18,1038.22;546.00;2;3.52
563.00;2_2.38;586.00;2_1.171;1180.78,1040.06;566.00;3;2.30;;;;
563.00;2_2.38;586.00;2_1.171;;;;;1184.40,1035.31;564.00;3;4.15
563.00;2_1.171;586.00;2_2.38;1180.78,1040.06;566.00;2;2.30;;;;
563.00;2_1.171;586.00;2_2.38;;;;;1184.40,1035.31;564.00;2;4.15
575.00;2_2.42;602.00;2_1.187;1179.52,1036.44;576.00;3;3.40;;;;
575.00;2_2.42;602.00;2_1.187;;;;;1182.22,1032.90;575.00;3;3.61
575.00;2_1.187;602.00;2_2.42;1179.52,1036.44;576.00;2;3.40;;;;
575.00;2_1.187;602.00;2_2.42;;;;;1182.22,1032.90;575.00;2;3.61
603.00;3_2.0;631.00;2_1.212;1181.72,1033.55;605.00;3;2.45;;;;
603.00;3_2.0;631.00;2_1.212;;;;;1181.72,1033.55;605.00;3;4.09
603.00;2_1.212;631.00;3_2.0;1181.72,1033.55;605.00;2;2.45;;;;
603.00;2_1.212;631.00;3_2.0;;;;;1181.72,1033.55;605.00;2;4.09
621.00;2_2.46;646.00;2_1.234;1182.67,1037.57;622.00;3;3.31;;;;
621.00;2_2.46;646.00;2_1.234;;;;;1182.67,1037.57;622.00;3;3.46
621.00;3_2.1;647.00;2_1.230;1182.24,1032.87;621.00;3;3.32;;;;
621.00;3_2.1;647.00;2_1.230;;;;;1182.24,1032.87;621.00;3;3.96
622.00;3_2.3;647.00;2_1.239;1179.53,1031.14;622.00;3;3.24;;;;
622.00;3_2.3;647.00;2_1.239;;;;;1179.53,1031.14;622.00;3;4.00
621.00;2_1.230;647.00;3_2.1;1182.24,1032.87;621.00;2;3.32;;;;
621.00;2_1.230;647.00;3_2.1;;;;;1182.24,1032.87;621.00;2;3.96
621.00;2_1.234;646.00;2_2.46;1182.67,1037.57;622.00;2;3.31;;;;
621.00;2_1.234;646.00;2_2.46;;;;;1182.67,1037.57;622.00;2;3.46
622.00;2_1.239;647.00;3_2.3;1179.53,1031.14;622.00;2;3.24;;;;
622.00;2_1.239;647.00;3_2.3;;;;;1179.53,1031.14;622.00;2;4.00
638.00;3_2.4;665.00;2_1.242;1184.42,1035.29;639.00;3;2.73;;;;
638.00;3_2.4;665.00;2_1.242;;;;;1184.42,1035.29;639.00;3;3.69
638.00;2_1.242;665.00;3_2.4;1184.42,1035.29;639.00;2;2.73;;;;
638.00;2_1.242;665.00;3_2.4;;;;;1184.42,1035.29;639.00;2;3.69
656.00;3_2.5;683.00;2_1.276;1179.48,1036.50;657.00;3;3.19;;;;
656.00;3_2.5;683.00;2_1.276;;;;;1179.48,1036.50;657.00;3;3.35
656.00;2_1.276;683.00;3_2.5;1179.48,1036.50;657.00;2;3.19;;;;
656.00;2_1.276;683.00;3_2.5;;;;;1179.48,1036.50;657.00;2;3.35
739.00;3_2.21;765.00;3_1.28;1182.59,1037.69;740.00;3;2.97;;;;
739.00;3_2.21;765.00;3_1.28;;;;;1184.96,1034.58;739.00;3;4.13
742.00;3_2.23;766.00;3_1.23;1175.05,1037.02;743.00;3;3.46;;;;
742.00;3_2.23;766.00;3_1.23;;;;;1178.18,1032.91;742.00;3;3.60
739.00;3_1.28;765.00;3_2.21;1182.59,1037.69;740.00;2;2.97;;;;
739.00;3_1.28;765.00;3_2.21;;;;;1184.96,1034.58;739.00;2;4.13
742.00;3_1.23;766.00;3_2.23;1175.05,1037.02;743.00;2;3.46;;;;
742.00;3_1.23;766.00;3_2.23;;;;;1178.18,1032.91;742.00;2;3.60
792.00;3_2.37;821.00;3_1.66;1184.84,1034.73;793.00;3;2.23;;;;
792.00;3_2.37;821.00;3_1.66;;;;;1184.84,1034.73;793.00;3;3.45
792.00;3_1.66;821.00;3_2.37;1184.84,1034.73;793.00;2;2.23;;;;
792.00;3_1.66;821.00;3_2.37;;;;;1184.84,1034.73;793.00;2;3.45
815.00;3_2.41;843.00;3_1.94;1178.50,1043.05;818.00;3;3.08;;;;
815.00;3_2.41;843.00;3_1.94;;;;;1184.56,1035.09;816.00;3;3.48
815.00;3_1.94;843.00;3_2.41;1178.50,1043.05;818.00;2;3.08;;;;
815.00;3_1.94;843.00;3_2.41;;;;;1184.56,1035.09;816.00;2;3.48
822.00;3_2.30;847.00;3_1.109;1182.43,1032.62;822.00;3;2.93;;;;
822.00;3_2.30;847.00;3_1.109;;;;;1182.43,1032.62;822.00;3;4.38
822.00;3_1.109;847.00;3_2.30;1182.43,1032.62;822.00;2;2.93;;;;
822.00;3_1.109;847.00;3_2.30;;;;;1182.43,1032.62;822.00;2;4.38
832.00;3_1.119;859.00;3_2.46;1182.81,1037.40;833.00;2;3.24;;;;
832.00;3_1.119;859.00;3_2.46;;;;;1182.81,1037.40;833.00;2;3.57
832.00;3_2.46;859.00;3_1.119;1182.81,1037.40;833.00;3;3.24;;;;
832.00;3_2.46;859.00;3_1.119;;;;;1182.81,1037.40;833.00;3;3.57
879.00;3_2.54;908.00;3_1.153;1185.11,1034.38;880.00;3;2.20;;;;
879.00;3_2.54;908.00;3_1.153;;;;;1185.11,1034.38;880.00;3;3.50
879.00;3_1.153;908.00;3_2.54;1185.11,1034.38;880.00;2;2.20;;;;
879.00;3_1.153;908.00;3_2.54;;;;;1185.11,1034.38;880.00;2;3.50
909.00;3_2.55;936.00;3_1.191;1183.07,1037.06;910.00;3;2.87;;;;
909.00;3_2.55;936.00;3_1.191;;;;;1183.07,1037.06;910.00;3;3.53
909.00;3_1.191;936.00;3_2.55;1183.07,1037.06;910.00;2;2.87;;;;
909.00;3_1.191;936.00;3_2.55;;;;;1183.07,1037.06;910.00;2;3.53
915.00;3_1.193;937.00;3_2.70;1183.31,1036.75;917.00;2;2.53;;;;
915.00;3_1.193;937.00;3_2.70;;;;;1185.17,1034.30;916.00;2;4.13
915.00;3_2.70;937.00;3_1.193;1183.31,1036.75;917.00;3;2.53;;;;
915.00;3_2.70;937.00;3_1.193;;;;;1185.17,1034.30;916.00;3;4.13
944.00;4_2.5;972.00;3_1.209;1182.94,1037.22;946.00;3;2.53;;;;
944.00;4_2.5;972.00;3_1.209;;;;;1185.97,1033.25;944.00;3;3.45
944.00;3_1.209;972.00;4_2.5;1182.94,1037.22;946.00;2;2.53;;;;
944.00;3_1.209;972.00;4_2.5;;;;;1185.97,1033.25;944.00;2;3.45
967.00;4_2.10;991.00;3_1.252;1177.13,1034.29;967.00;3;3.68;;;;
967.00;4_2.10;991.00;3_1.252;;;;;1177.13,1034.29;967.00;3;3.56
967.00;3_1.252;991.00;4_2.10;1177.13,1034.29;967.00;2;3.68;;;;
967.00;3_1.252;991.00;4_2.10;;;;;1177.13,1034.29;967.00;2;3.56
979.00;4_2.13;1006.00;3_1.257;1182.87,1037.32;980.00;3;3.23;;;;
979.00;4_2.13;1006.00;3_1.257;;;;;1185.03,1034.49;979.00;3;3.46
979.00;3_1.257;1006.00;4_2.13;1182.87,1037.32;980.00;2;3.23;;;;
979.00;3_1.257;1006.00;4_2.13;;;;;1185.03,1034.49;979.00;2;3.46
995.00;4_2.12;1020.00;3_1.274;1177.74,1033.49;995.00;3;3.57;;;;
995.00;4_2.12;1020.00;3_1.274;;;;;1177.74,1033.49;995.00;3;3.45
995.00;3_1.274;1020.00;4_2.12;1177.74,1033.49;995.00;2;3.57;;;;
995.00;3_1.274;1020.00;4_2.12;;;;;1177.74,1033.49;995.00;2;3.45
999.00;4_2.16;1029.00;3_1.273;1185.97,1033.25;999.00;3;2.95;;;;
999.00;4_2.16;1029.00;3_1.273;;;;;1185.97,1033.25;999.00;3;3.39
999.00;3_1.273;1029.00;4_2.16;1185.97,1033.25;999.00;2;2.95;;;;
999.00;3_1.273;1029.00;4_2.16;;;;;1185.97,1033.25;999.00;2;3.39
1036.00;4_2.21;1060.00;3_1.317;1176.87,1034.64;1037.00;3;3.18;;;;
1036.00;4_2.21;1060.00;3_1.317;;;;;1179.51,1031.17;1036.00;3;3.90
1036.00;3_1.317;1060.00;4_2.21;1176.87,1034.64;1037.00;2;3.18;;;;
1036.00;3_1.317;1060.00;4_2.21;;;;;1179.51,1031.17;1036.00;2;3.90
1035.00;4_2.17;1064.00;3_1.315;1179.52,1041.71;1037.00;3;3.20;;;;
1035.00;4_2.17;1064.00;3_1.315;;;;;1185.11,1034.38;1035.00;3;3.82
1035.00;3_1.315;1064.00;4_2.17;1179.52,1041.71;1037.00;2;3.20;;;;
1035.00;3_1.315;1064.00;4_2.17;;;;;1185.11,1034.38;1035.00;2;3.82
1059.00;4_2.25;1085.00;4_1.5;1182.60,1037.67;1060.00;3;3.27;;;;
1059.00;4_2.25;1085.00;4_1.5;;;;;1184.99,1034.54;1059.00;3;4.03
1059.00;4_1.5;1085.00;4_2.25;1182.60,1037.67;1060.00;2;3.27;;;;
1059.00;4_1.5;1085.00;4_2.25;;;;;1184.99,1034.54;1059.00;2;4.03
1072.00;4_2.28;1096.00;4_1.18;1176.61,1034.98;1073.00;3;3.24;;;;
1072.00;4_2.28;1096.00;4_1.18;;;;;1179.32,1031.42;1072.00;3;3.42
1072.00;4_1.18;1096.00;4_2.28;1176.61,1034.98;1073.00;2;3.24;;;;
1072.00;4_1.18;1096.00;4_2.28;;;;;1179.32,1031.42;1072.00;2;3.42
1072.00;4_2.30;1103.00;4_1.15;1178.58,1037.67;1074.00;3;3.09;;;;
1072.00;4_2.30;1103.00;4_1.15;;;;;1181.06,1034.42;1073.00;3;3.68
1072.00;4_1.15;1103.00;4_2.30;1178.58,1037.67;1074.00;2;3.09;;;;
1072.00;4_1.15;1103.00;4_2.30;;;;;1181.06,1034.42;1073.00;2;3.68
1075.00;4_2.33;1105.00;4_1.16;1184.46,1035.23;1076.00;3;2.86;;;;
1075.00;4_2.33;1105.00;4_1.16;;;;;1185.97,1033.25;1075.00;3;3.54
1075.00;4_1.16;1105.00;4_2.33;1184.46,1035.23;1076.00;2;2.86;;;;
1075.00;4_1.16;1105.00;4_2.33;;;;;1185.97,1033.25;1075.00;2;3.54
1091.00;4_2.31;1116.00;4_1.40;1182.17,1038.23;1092.00;3;3.26;;;;
1091.00;4_2.31;1116.00;4_1.40;;;;;1182.17,1038.23;1092.00;3;3.47
1091.00;4_1.40;1116.00;4_2.31;1182.17,1038.23;1092.00;2;3.26;;;;
1091.00;4_1.40;1116.00;4_2.31;;;;;1182.17,1038.23;1092.00;2;3.47
1115.00;4_1.52;1137.00;4_2.38;1182.04,1038.41;1117.00;2;2.99;;;;
1115.00;4_1.52;1137.00;4_2.38;;;;;1184.65,1034.98;1116.00;2;3.92
1115.00;4_2.38;1137.00;4_1.52;1182.04,1038.41;1117.00;3;2.99;;;;
1115.00;4_2.38;1137.00;4_1.52;;;;;1184.65,1034.98;1116.00;3;3.92
1120.00;4_2.40;1148.00;4_1.66;1179.32,1036.71;1121.00;3;3.27;;;;
1120.00;4_2.40;1148.00;4_1.66;;;;;1181.89,1033.34;1120.00;3;3.92
1120.00;4_1.66;1148.00;4_2.40;1179.32,1036.71;1121.00;2;3.27;;;;
1120.00;4_1.66;1148.00;4_2.40;;;;;1181.89,1033.34;1120.00;2;3.92
1155.00;4_2.43;1181.00;4_1.100;1180.15,1040.89;1157.00;3;3.02;;;;
1155.00;4_2.43;1181.00;4_1.100;;;;;1183.05,1037.08;1156.00;3;3.84
1155.00;4_1.100;1181.00;4_2.43;1180.15,1040.89;1157.00;2;3.02;;;;
1155.00;4_1.100;1181.00;4_2.43;;;;;1183.05,1037.08;1156.00;2;3.84
1166.00;4_2.45;1190.00;4_1.109;1179.93,1035.90;1167.00;3;3.02;;;;
1166.00;4_2.45;1190.00;4_1.109;;;;;1182.35,1032.73;1166.00;3;4.04
1166.00;4_1.109;1190.00;4_2.45;1179.93,1035.90;1167.00;2;3.02;;;;
1166.00;4_1.109;1190.00;4_2.45;;;;;1182.35,1032.73;1166.00;2;4.04
1183.00;4_2.51;1207.00;4_1.128;1182.64,1037.61;1184.00;3;3.32;;;;
1183.00;4_2.51;1207.00;4_1.128;;;;;1182.64,1037.61;1184.00;3;3.55
1183.00;4_1.128;1207.00;4_2.51;1182.64,1037.61;1184.00;2;3.32;;;;
1183.00;4_1.128;1207.00;4_2.51;;;;;1182.64,1037.61;1184.00;2;3.55
1222.00;4_1.157;1248.00;4_2.56;1177.55,1039.03;1223.00;2;3.75;;;;
1222.00;4_1.157;1248.00;4_2.56;;;;;1180.49,1035.16;1222.00;2;3.56
1222.00;4_2.56;1248.00;4_1.157;1177.55,1039.03;1223.00;3;3.75;;;;
1222.00;4_2.56;1248.00;4_1.157;;;;;1180.49,1035.16;1222.00;3;3.56
1228.00;5_2.7;1254.00;4_1.174;1177.07,1034.37;1229.00;3;3.32;;;;
1228.00;5_2.7;1254.00;4_1.174;;;;;1179.43,1031.27;1228.00;3;3.72
1228.00;4_1.174;1254.00;5_2.7;1177.07,1034.37;1229.00;2;3.32;;;;
1228.00;4_1.174;1254.00;5_2.7;;;;;1179.43,1031.27;1228.00;2;3.72
1231.00;5_2.3;1257.00;4_1.172;1182.27,1032.83;1232.00;3;2.12;;;;
1231.00;5_2.3;1257.00;4_1.172;;;;;1182.27,1032.83;1232.00;3;3.65
1231.00;4_1.172;1257.00;5_2.3;1182.27,1032.83;1232.00;2;2.12;;;;
1231.00;4_1.172;1257.00;5_2.3;;;;;1182.27,1032.83;1232.00;2;3.65
1241.00;5_2.1;1261.00;4_1.176;1185.03,1034.48;1242.00;3;1.62;;;;
1241.00;5_2.1;1261.00;4_1.176;;;;;1185.03,1034.48;1242.00;3;3.71
1241.00;4_1.176;1261.00;5_2.1;1185.03,1034.48;1242.00;2;1.62;;;;
1241.00;4_1.176;1261.00;5_2.1;;;;;1185.03,1034.48;1242.00;2;3.71
1254.00;5_2.8;1279.00;4_1.194;1183.34,1036.70;1255.00;3;3.02;;;;
1254.00;5_2.8;1279.00;4_1.194;;;;;1183.34,1036.70;1255.00;3;3.42
1254.00;4_1.194;1279.00;5_2.8;1183.34,1036.70;1255.00;2;3.02;;;;
1254.00;4_1.194;1279.00;5_2.8;;;;;1183.34,1036.70;1255.00;2;3.42
1277.00;5_2.20;1301.00;4_1.217;1178.73,1042.75;1279.00;3;3.16;;;;
1277.00;5_2.20;1301.00;4_1.217;;;;;1184.58,1035.07;1277.00;3;3.82
1277.00;4_1.217;1301.00;5_2.20;1178.73,1042.75;1279.00;2;3.16;;;;
1277.00;4_1.217;1301.00;5_2.20;;;;;1184.58,1035.07;1277.00;2;3.82
1328.00;5_2.23;1351.00;4_1.274;1173.99,1038.42;1329.00;3;3.77;;;;
1328.00;5_2.23;1351.00;4_1.274;;;;;1177.79,1033.43;1328.00;3;3.56
1328.00;4_1.274;1351.00;5_2.23;1173.99,1038.42;1329.00;2;3.77;;;;
1328.00;4_1.274;1351.00;5_2.23;;;;;1177.79,1033.43;1328.00;2;3.56
1351.00;5_2.27;1377.00;4_1.293;1182.88,1037.30;1352.00;3;3.10;;;;
1351.00;5_2.27;1377.00;4_1.293;;;;;1185.10,1034.39;1351.00;3;3.94
1351.00;4_1.293;1377.00;5_2.27;1182.88,1037.30;1352.00;2;3.10;;;;
1351.00;4_1.293;1377.00;5_2.27;;;;;1185.10,1034.39;1351.00;2;3.94
1357.00;5_2.34;1390.00;4_1.294;1173.66,1044.13;1361.00;3;2.62;;;;
1357.00;5_2.34;1390.00;4_1.294;;;;;1182.75,1032.20;1357.00;3;3.86
1357.00;4_1.294;1390.00;5_2.34;1173.66,1044.13;1361.00;2;2.62;;;;
1357.00;4_1.294;1390.00;5_2.34;;;;;1182.75,1032.20;1357.00;2;3.86
1425.00;5_2.51;1453.00;5_1.19;1182.78,1037.43;1427.00;3;3.09;;;;
1425.00;5_2.51;1453.00;5_1.19;;;;;1185.97,1033.25;1425.00;3;3.73
1425.00;5_1.19;1453.00;5_2.51;1182.78,1037.43;1427.00;2;3.09;;;;
1425.00;5_1.19;1453.00;5_2.51;;;;;1185.97,1033.25;1425.00;2;3.73
1444.00;5_1.36;1465.00;5_2.47;1168.98,1050.27;1447.00;2;3.15;;;;
1444.00;5_1.36;1465.00;5_2.47;;;;;1179.09,1037.01;1444.00;2;3.62
1444.00;5_2.47;1465.00;5_1.36;1168.98,1050.27;1447.00;3;3.15;;;;
1444.00;5_2.47;1465.00;5_1.36;;;;;1179.09,1037.01;1444.00;3;3.62
1447.00;5_2.50;1476.00;5_1.32;1183.44,1036.57;1449.00;3;2.93;;;;
1447.00;5_2.50;1476.00;5_1.32;;;;;1185.45,1033.93;1448.00;3;3.61
1447.00;5_1.32;1476.00;5_2.50;1183.44,1036.57;1449.00;2;2.93;;;;
1447.00;5_1.32;1476.00;5_2.50;;;;;1185.45,1033.93;1448.00;2;3.61
1482.00;5_2.62;1509.00;5_1.69;1183.45,1036.56;1484.00;3;2.50;;;;
1482.00;5_2.62;1509.00;5_1.69;;;;;1183.45,1036.56;1484.00;3;3.66
1493.00;5_2.59;1509.00;5_1.88;1182.19,1038.20;1493.00;3;3.52;;;;
1493.00;5_2.59;1509.00;5_1.88;;;;;1182.19,1038.20;1493.00;3;3.41
1482.00;5_1.69;1509.00;5_2.62;1183.45,1036.56;1484.00;2;2.50;;;;
1482.00;5_1.69;1509.00;5_2.62;;;;;1183.45,1036.56;1484.00;2;3.66
1493.00;5_1.88;1509.00;5_2.59;1182.19,1038.20;1493.00;2;3.52;;;;
1493.00;5_1.88;1509.00;5_2.59;;;;;1182.19,1038.20;1493.00;2;3.41
1498.00;5_2.68;1522.00;5_1.91;1180.32,1035.39;1498.00;3;3.50;;;;
1498.00;5_2.68;1522.00;5_1.91;;;;;1180.32,1035.39;1498.00;3;3.45
1498.00;5_1.91;1522.00;5_2.68;1180.32,1035.39;1498.00;2;3.50;;;;
1498.00;5_1.91;1522.00;5_2.68;;;;;1180.32,1035.39;1498.00;2;3.45
1517.00;5_2.65;1542.00;5_1.106;1182.83,1037.37;1517.00;3;3.52;;;;
1517.00;5_2.65;1542.00;5_1.106;;;;;1182.83,1037.37;1517.00;3;3.45
1517.00;5_1.106;1542.00;5_2.65;1182.83,1037.37;1517.00;2;3.52;;;;
1517.00;5_1.106;1542.00;5_2.65;;;;;1182.83,1037.37;1517.00;2;3.45
1531.00;5_2.85;1557.00;5_1.115;1182.81,1037.40;1533.00;3;2.60;;;;
1531.00;5_2.85;1557.00;5_1.115;;;;;1184.84,1034.73;1532.00;3;3.80
1533.00;5_2.66;1558.00;5_1.120;1177.22,1034.17;1535.00;3;3.00;;;;
1533.00;5_2.66;1558.00;5_1.120;;;;;1179.67,1030.96;1534.00;3;3.84
1531.00;5_1.115;1557.00;5_2.85;1182.81,1037.40;1533.00;2;2.60;;;;
1531.00;5_1.115;1557.00;5_2.85;;;;;1184.84,1034.73;1532.00;2;3.80
1533.00;5_1.120;1558.00;5_2.66;1177.22,1034.17;1535.00;2;3.00;;;;
1533.00;5_1.120;1558.00;5_2.66;;;;;1179.67,1030.96;1534.00;2;3.84
1557.00;5_2.74;1575.00;5_1.138;1179.54,1036.42;1558.00;3;3.14;;;;
1557.00;5_2.74;1575.00;5_1.138;;;;;1182.26,1032.85;1557.00;3;4.05
1557.00;5_1.138;1575.00;5_2.74;1179.54,1036.42;1558.00;2;3.14;;;;
