interval_begin,zone_id,measurement_start,interval_id,volume,flow,speed
1800,10045,09-08-17 14:00,9to10,316,3792,14.14426579
2100,10045,09-08-17 14:05,9to10,351,4212,15.40975915
2400,10045,09-08-17 14:10,9to10,336,4032,14.51940419
2700,10045,09-08-17 14:15,9to10,304,3648,13.51013064
3000,10045,09-08-17 14:20,9to10,304,3648,12.93342139
3300,10045,09-08-17 14:25,9to10,353,4236,14.63832977
3600,10045,09-08-17 14:30,9to10,313,3756,13.41957651
3900,10045,09-08-17 14:35,9to10,319,3828,13.94542221
4200,10045,09-08-17 14:40,9to10,335,4020,15.23204902
4500,10045,09-08-17 14:45,9to10,314,3768,15.35345045
4800,10045,09-08-17 14:50,9to10,296,3552,19.68860538
5100,10045,09-08-17 14:55,9to10,318,3816,23.36682215
5400,10045,09-08-17 15:00,9to10,293,3516,24.07991154
5700,10045,09-08-17 15:05,9to10,293,3516,23.93798697
6000,10045,09-08-17 15:10,9to10,295,3540,24.66598134
6300,10045,09-08-17 15:15,9to10,282,3384,24.62013603
6600,10045,09-08-17 15:20,9to10,289,3468,24.25053354
6900,10045,09-08-17 15:25,9to10,326,3912,24.16039273
0,10045,09-08-17 13:30,12to13,394,4728,23.3814166
300,10045,09-08-17 13:35,12to13,351,4212,30.20496588
600,10045,09-08-17 13:40,12to13,384,4608,29.00464949
900,10045,09-08-17 13:45,12to13,363,4356,22.78040999
1200,10045,09-08-17 13:50,12to13,381,4572,12.97446141
1500,10045,09-08-17 13:55,12to13,358,4296,16.68581115
1800,10045,09-08-17 14:00,12to13,355,4260,14.53656333
2100,10045,09-08-17 14:05,12to13,351,4212,14.73455574
2400,10045,09-08-17 14:10,12to13,351,4212,15.19066318
2700,10045,09-08-17 14:15,12to13,328,3936,14.06034317
3000,10045,09-08-17 14:20,12to13,362,4344,13.98538381
3300,10045,09-08-17 14:25,12to13,353,4236,15.35166089
3600,10045,09-08-17 14:30,12to13,335,4020,13.8153076
3900,10045,09-08-17 14:35,12to13,368,4416,15.14838628
4200,10045,09-08-17 14:40,12to13,363,4356,15.86460507
4500,10045,09-08-17 14:45,12to13,347,4164,13.83664823
4800,10045,09-08-17 14:50,12to13,308,3696,21.91727796
5100,10045,09-08-17 14:55,12to13,333,3996,29.93638819
5400,10045,09-08-17 15:00,12to13,331,3972,30.51487703
5700,10045,09-08-17 15:05,12to13,314,3768,30.69784468
6000,10045,09-08-17 15:10,12to13,316,3792,31.71397922
6300,10045,09-08-17 15:15,12to13,319,3828,31.72241197
6600,10045,09-08-17 15:20,12to13,289,3468,31.59214822
6900,10045,09-08-17 15:25,12to13,337,4044,30.98870899
0,10045,42986.5625,4_1to4,78,936,22.01995085
300,10045,42986.56597,4to4_1,49,588,22.58909923
600,10045,42986.56944,4_1to4,72,864,21.24931362
900,10045,42986.57292,4_1to4,57,684,22.3625147
1200,10045,42986.57639,4_1to4,89,1068,19.02651095
1500,10045,42986.57986,4_1to4,37,444,18.75916324
1800,10045,42986.58333,4_1to4,21,252,18.68505318
